,unit,ts,qty
6,e527dedfec712d75834a2eacb23e51fc,2021-03-08,69.43728298611109
13,e527dedfec712d75834a2eacb23e51fc,2021-03-15,0.0
20,e527dedfec712d75834a2eacb23e51fc,2021-03-22,0.0
27,e527dedfec712d75834a2eacb23e51fc,2021-03-29,0.0
34,e527dedfec712d75834a2eacb23e51fc,2021-04-05,0.0
41,e527dedfec712d75834a2eacb23e51fc,2021-04-12,0.0
48,e527dedfec712d75834a2eacb23e51fc,2021-04-19,1.356336805555543
55,e527dedfec712d75834a2eacb23e51fc,2021-04-26,335.56315104166674
62,e527dedfec712d75834a2eacb23e51fc,2021-05-03,41.11328125
69,e527dedfec712d75834a2eacb23e51fc,2021-05-10,0.0
76,e527dedfec712d75834a2eacb23e51fc,2021-05-17,0.0
83,e527dedfec712d75834a2eacb23e51fc,2021-05-24,0.0
90,e527dedfec712d75834a2eacb23e51fc,2021-05-31,187.0979817708331
97,e527dedfec712d75834a2eacb23e51fc,2021-06-07,169.1650390624991
6,157d57374570e571f315087d948053c5,2021-03-08,1.600000000000044
13,157d57374570e571f315087d948053c5,2021-03-15,0.0
20,157d57374570e571f315087d948053c5,2021-03-22,0.0
27,157d57374570e571f315087d948053c5,2021-03-29,0.0
34,157d57374570e571f315087d948053c5,2021-04-05,9.903189379656396e-14
41,157d57374570e571f315087d948053c5,2021-04-12,46.99999999999988
48,157d57374570e571f315087d948053c5,2021-04-19,0.0
55,157d57374570e571f315087d948053c5,2021-04-26,0.0
62,157d57374570e571f315087d948053c5,2021-05-03,0.0
69,157d57374570e571f315087d948053c5,2021-05-10,0.0
76,157d57374570e571f315087d948053c5,2021-05-17,0.0
83,157d57374570e571f315087d948053c5,2021-05-24,0.0
90,157d57374570e571f315087d948053c5,2021-05-31,0.0
97,157d57374570e571f315087d948053c5,2021-06-07,0.0
6,59e86c3431937f5a8b9b84800abd4310,2021-03-08,668.0603298611113
13,59e86c3431937f5a8b9b84800abd4310,2021-03-15,0.0
