unit,ts,qty
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-03-08,0
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-03-15,0
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-03-22,0
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-03-29,0
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-04-05,0
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-04-12,0
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-04-19,0
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-04-26,0
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-05-03,0
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-05-10,0
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-05-17,0
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-05-24,0
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-05-31,0
0025accbb2e3dfbfe6f5b3a4562bdee0,2021-06-07,0
00b81e9b086c6b44253d552452b5eaf2,2021-03-08,51
00b81e9b086c6b44253d552452b5eaf2,2021-03-15,19
00b81e9b086c6b44253d552452b5eaf2,2021-03-22,-14
00b81e9b086c6b44253d552452b5eaf2,2021-03-29,12
00b81e9b086c6b44253d552452b5eaf2,2021-04-05,16
00b81e9b086c6b44253d552452b5eaf2,2021-04-12,2
00b81e9b086c6b44253d552452b5eaf2,2021-04-19,-1
00b81e9b086c6b44253d552452b5eaf2,2021-04-26,20
00b81e9b086c6b44253d552452b5eaf2,2021-05-03,131
00b81e9b086c6b44253d552452b5eaf2,2021-05-10,47
00b81e9b086c6b44253d552452b5eaf2,2021-05-17,18
00b81e9b086c6b44253d552452b5eaf2,2021-05-24,-1
00b81e9b086c6b44253d552452b5eaf2,2021-05-31,0
00b81e9b086c6b44253d552452b5eaf2,2021-06-07,0
014a3a361546e92efe93ec6b8f35ebdd,2021-03-08,0
014a3a361546e92efe93ec6b8f35ebdd,2021-03-15,0
014a3a361546e92efe93ec6b8f35ebdd,2021-03-22,0
014a3a361546e92efe93ec6b8f35ebdd,2021-03-29,0
014a3a361546e92efe93ec6b8f35ebdd,2021-04-05,0
014a3a361546e92efe93ec6b8f35ebdd,2021-04-12,0
014a3a361546e92efe93ec6b8f35ebdd,2021-04-19,0
014a3a361546e92efe93ec6b8f35ebdd,2021-04-26,0
014a3a361546e92efe93ec6b8f35ebdd,2021-05-03,0
014a3a361546e92efe93ec6b8f35ebdd,2021-05-10,0
014a3a361546e92efe93ec6b8f35ebdd,2021-05-17,0
014a3a361546e92efe93ec6b8f35ebdd,2021-05-24,0
014a3a361546e92efe93ec6b8f35ebdd,2021-05-31,0
014a3a361546e92efe93ec6b8f35ebdd,2021-06-07,0
0178ba794692d930832895d7aae30ae0,2021-03-08,0
0178ba794692d930832895d7aae30ae0,2021-03-15,0
0178ba794692d930832895d7aae30ae0,2021-03-22,0
0178ba794692d930832895d7aae30ae0,2021-03-29,0
0178ba794692d930832895d7aae30ae0,2021-04-05,0
0178ba794692d930832895d7aae30ae0,2021-04-12,0
0178ba794692d930832895d7aae30ae0,2021-04-19,0
0178ba794692d930832895d7aae30ae0,2021-04-26,0
0178ba794692d930832895d7aae30ae0,2021-05-03,0
0178ba794692d930832895d7aae30ae0,2021-05-10,0
0178ba794692d930832895d7aae30ae0,2021-05-17,0
0178ba794692d930832895d7aae30ae0,2021-05-24,0
0178ba794692d930832895d7aae30ae0,2021-05-31,0
0178ba794692d930832895d7aae30ae0,2021-06-07,0
028b2111d990b7f862d81e6e4d357016,2021-03-08,19
028b2111d990b7f862d81e6e4d357016,2021-03-15,0
028b2111d990b7f862d81e6e4d357016,2021-03-22,0
028b2111d990b7f862d81e6e4d357016,2021-03-29,0
028b2111d990b7f862d81e6e4d357016,2021-04-05,0
028b2111d990b7f862d81e6e4d357016,2021-04-12,0
028b2111d990b7f862d81e6e4d357016,2021-04-19,0
028b2111d990b7f862d81e6e4d357016,2021-04-26,475
028b2111d990b7f862d81e6e4d357016,2021-05-03,13
028b2111d990b7f862d81e6e4d357016,2021-05-10,84
028b2111d990b7f862d81e6e4d357016,2021-05-17,49
028b2111d990b7f862d81e6e4d357016,2021-05-24,6
028b2111d990b7f862d81e6e4d357016,2021-05-31,0
028b2111d990b7f862d81e6e4d357016,2021-06-07,0
02c79e63cc9f3f9722ad613c1f0831f7,2021-03-08,0
02c79e63cc9f3f9722ad613c1f0831f7,2021-03-15,0
02c79e63cc9f3f9722ad613c1f0831f7,2021-03-22,0
02c79e63cc9f3f9722ad613c1f0831f7,2021-03-29,0
02c79e63cc9f3f9722ad613c1f0831f7,2021-04-05,0
02c79e63cc9f3f9722ad613c1f0831f7,2021-04-12,0
